Zone_Axis_B,Diffraction_Vector_g,Loop_Family,Variant_Name,Visibility_gb,Morphology,Aspect_Ratio,AI_UI_Classification,UI_Color_Hex
"[1, 0, 0]","[0, 2, 0]",Faulted,1/3[111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 2, 0]",Faulted,1/3[-111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 2, 0]",Faulted,1/3[1-11],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 2, 0]",Faulted,1/3[11-1],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 2, 0]",Perfect,1/2[110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 2, 0]",Perfect,1/2[-110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 2, 0]",Perfect,1/2[101],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, 2, 0]",Perfect,1/2[-101],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, 2, 0]",Perfect,1/2[011],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 2, 0]",Perfect,1/2[0-11],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, -2, 0]",Faulted,1/3[111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, -2, 0]",Faulted,1/3[-111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, -2, 0]",Faulted,1/3[1-11],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, -2, 0]",Faulted,1/3[11-1],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, -2, 0]",Perfect,1/2[110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, -2, 0]",Perfect,1/2[-110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, -2, 0]",Perfect,1/2[101],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, -2, 0]",Perfect,1/2[-101],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, -2, 0]",Perfect,1/2[011],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, -2, 0]",Perfect,1/2[0-11],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 0, 2]",Faulted,1/3[111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 0, 2]",Faulted,1/3[-111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 0, 2]",Faulted,1/3[1-11],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 0, 2]",Faulted,1/3[11-1],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 0, 2]",Perfect,1/2[110],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, 0, 2]",Perfect,1/2[-110],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, 0, 2]",Perfect,1/2[101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 0, 2]",Perfect,1/2[-101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 0, 2]",Perfect,1/2[011],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 0, 2]",Perfect,1/2[0-11],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 0, -2]",Faulted,1/3[111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 0, -2]",Faulted,1/3[-111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 0, -2]",Faulted,1/3[1-11],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 0, -2]",Faulted,1/3[11-1],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 0, -2]",Perfect,1/2[110],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, 0, -2]",Perfect,1/2[-110],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, 0, -2]",Perfect,1/2[101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 0, -2]",Perfect,1/2[-101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 0, -2]",Perfect,1/2[011],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 0, -2]",Perfect,1/2[0-11],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 2, 2]",Faulted,1/3[111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 2, 2]",Faulted,1/3[-111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 2, 2]",Faulted,1/3[1-11],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, 2, 2]",Faulted,1/3[11-1],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, 2, 2]",Perfect,1/2[110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 2, 2]",Perfect,1/2[-110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 2, 2]",Perfect,1/2[101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 2, 2]",Perfect,1/2[-101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 2, 2]",Perfect,1/2[011],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 2, 2]",Perfect,1/2[0-11],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, 2, -2]",Faulted,1/3[111],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, 2, -2]",Faulted,1/3[-111],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, 2, -2]",Faulted,1/3[1-11],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 2, -2]",Faulted,1/3[11-1],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, 2, -2]",Perfect,1/2[110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 2, -2]",Perfect,1/2[-110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 2, -2]",Perfect,1/2[101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 2, -2]",Perfect,1/2[-101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, 2, -2]",Perfect,1/2[011],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, 2, -2]",Perfect,1/2[0-11],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, -2, 2]",Faulted,1/3[111],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, -2, 2]",Faulted,1/3[-111],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, -2, 2]",Faulted,1/3[1-11],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, -2, 2]",Faulted,1/3[11-1],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, -2, 2]",Perfect,1/2[110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, -2, 2]",Perfect,1/2[-110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, -2, 2]",Perfect,1/2[101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, -2, 2]",Perfect,1/2[-101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, -2, 2]",Perfect,1/2[011],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, -2, 2]",Perfect,1/2[0-11],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, -2, -2]",Faulted,1/3[111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, -2, -2]",Faulted,1/3[-111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[1, 0, 0]","[0, -2, -2]",Faulted,1/3[1-11],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, -2, -2]",Faulted,1/3[11-1],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[1, 0, 0]","[0, -2, -2]",Perfect,1/2[110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, -2, -2]",Perfect,1/2[-110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, -2, -2]",Perfect,1/2[101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, -2, -2]",Perfect,1/2[-101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, -2, -2]",Perfect,1/2[011],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[1, 0, 0]","[0, -2, -2]",Perfect,1/2[0-11],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, 2, 0]",Faulted,1/3[111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 2, 0]",Faulted,1/3[-111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 2, 0]",Faulted,1/3[1-11],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 2, 0]",Faulted,1/3[11-1],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 2, 0]",Perfect,1/2[110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 2, 0]",Perfect,1/2[-110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 2, 0]",Perfect,1/2[101],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, 2, 0]",Perfect,1/2[-101],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, 2, 0]",Perfect,1/2[011],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 2, 0]",Perfect,1/2[0-11],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, -2, 0]",Faulted,1/3[111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, -2, 0]",Faulted,1/3[-111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, -2, 0]",Faulted,1/3[1-11],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, -2, 0]",Faulted,1/3[11-1],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, -2, 0]",Perfect,1/2[110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, -2, 0]",Perfect,1/2[-110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, -2, 0]",Perfect,1/2[101],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, -2, 0]",Perfect,1/2[-101],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, -2, 0]",Perfect,1/2[011],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, -2, 0]",Perfect,1/2[0-11],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 0, 2]",Faulted,1/3[111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 0, 2]",Faulted,1/3[-111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 0, 2]",Faulted,1/3[1-11],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 0, 2]",Faulted,1/3[11-1],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 0, 2]",Perfect,1/2[110],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, 0, 2]",Perfect,1/2[-110],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, 0, 2]",Perfect,1/2[101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 0, 2]",Perfect,1/2[-101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 0, 2]",Perfect,1/2[011],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 0, 2]",Perfect,1/2[0-11],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 0, -2]",Faulted,1/3[111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 0, -2]",Faulted,1/3[-111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 0, -2]",Faulted,1/3[1-11],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 0, -2]",Faulted,1/3[11-1],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 0, -2]",Perfect,1/2[110],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, 0, -2]",Perfect,1/2[-110],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, 0, -2]",Perfect,1/2[101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 0, -2]",Perfect,1/2[-101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 0, -2]",Perfect,1/2[011],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 0, -2]",Perfect,1/2[0-11],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 2, 2]",Faulted,1/3[111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 2, 2]",Faulted,1/3[-111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 2, 2]",Faulted,1/3[1-11],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, 2, 2]",Faulted,1/3[11-1],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, 2, 2]",Perfect,1/2[110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 2, 2]",Perfect,1/2[-110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 2, 2]",Perfect,1/2[101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 2, 2]",Perfect,1/2[-101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 2, 2]",Perfect,1/2[011],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 2, 2]",Perfect,1/2[0-11],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, 2, -2]",Faulted,1/3[111],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, 2, -2]",Faulted,1/3[-111],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, 2, -2]",Faulted,1/3[1-11],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 2, -2]",Faulted,1/3[11-1],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, 2, -2]",Perfect,1/2[110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 2, -2]",Perfect,1/2[-110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 2, -2]",Perfect,1/2[101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 2, -2]",Perfect,1/2[-101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, 2, -2]",Perfect,1/2[011],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, 2, -2]",Perfect,1/2[0-11],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, -2, 2]",Faulted,1/3[111],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, -2, 2]",Faulted,1/3[-111],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, -2, 2]",Faulted,1/3[1-11],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, -2, 2]",Faulted,1/3[11-1],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, -2, 2]",Perfect,1/2[110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, -2, 2]",Perfect,1/2[-110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, -2, 2]",Perfect,1/2[101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, -2, 2]",Perfect,1/2[-101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, -2, 2]",Perfect,1/2[011],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, -2, 2]",Perfect,1/2[0-11],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, -2, -2]",Faulted,1/3[111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, -2, -2]",Faulted,1/3[-111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[-1, 0, 0]","[0, -2, -2]",Faulted,1/3[1-11],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, -2, -2]",Faulted,1/3[11-1],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[-1, 0, 0]","[0, -2, -2]",Perfect,1/2[110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, -2, -2]",Perfect,1/2[-110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, -2, -2]",Perfect,1/2[101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, -2, -2]",Perfect,1/2[-101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, -2, -2]",Perfect,1/2[011],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[-1, 0, 0]","[0, -2, -2]",Perfect,1/2[0-11],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[0, 1, 0]","[2, 0, 0]",Faulted,1/3[111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[0, 1, 0]","[2, 0, 0]",Faulted,1/3[-111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[0, 1, 0]","[2, 0, 0]",Faulted,1/3[1-11],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[0, 1, 0]","[2, 0, 0]",Faulted,1/3[11-1],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[0, 1, 0]","[2, 0, 0]",Perfect,1/2[110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[0, 1, 0]","[2, 0, 0]",Perfect,1/2[-110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[0, 1, 0]","[2, 0, 0]",Perfect,1/2[101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[0, 1, 0]","[2, 0, 0]",Perfect,1/2[-101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[0, 1, 0]","[2, 0, 0]",Perfect,1/2[011],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[0, 1, 0]","[2, 0, 0]",Perfect,1/2[0-11],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[0, 1, 0]","[-2, 0, 0]",Faulted,1/3[111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[0, 1, 0]","[-2, 0, 0]",Faulted,1/3[-111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[0, 1, 0]","[-2, 0, 0]",Faulted,1/3[1-11],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[0, 1, 0]","[-2, 0, 0]",Faulted,1/3[11-1],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[0, 1, 0]","[-2, 0, 0]",Perfect,1/2[110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[0, 1, 0]","[-2, 0, 0]",Perfect,1/2[-110],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[0, 1, 0]","[-2, 0, 0]",Perfect,1/2[101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[0, 1, 0]","[-2, 0, 0]",Perfect,1/2[-101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[0, 1, 0]","[-2, 0, 0]",Perfect,1/2[011],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[0, 1, 0]","[-2, 0, 0]",Perfect,1/2[0-11],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[0, 1, 0]","[0, 0, 2]",Faulted,1/3[111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[0, 1, 0]","[0, 0, 2]",Faulted,1/3[-111],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[0, 1, 0]","[0, 0, 2]",Faulted,1/3[1-11],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[0, 1, 0]","[0, 0, 2]",Faulted,1/3[11-1],Visible,Inclined Ellipse,1:0.577,Cyan (Faulted Ellipse),#00FFFF
"[0, 1, 0]","[0, 0, 2]",Perfect,1/2[110],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[0, 1, 0]","[0, 0, 2]",Perfect,1/2[-110],Invisible,Inclined Ellipse,1:0.577,Background (Transparent),#00000000
"[0, 1, 0]","[0, 0, 2]",Perfect,1/2[101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[0, 1, 0]","[0, 0, 2]",Perfect,1/2[-101],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[0, 1, 0]","[0, 0, 2]",Perfect,1/2[011],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
"[0, 1, 0]","[0, 0, 2]",Perfect,1/2[0-11],Visible,Inclined Ellipse,1:0.577,Pink (Perfect Ellipse),#FF00FF
